{'Tiempo': '2023-11-29T14:12:40.887929', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 117.0}
{'Tiempo': '2023-11-29T14:12:42.632027', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 117.0}
{'Tiempo': '2023-11-29T14:15:48.411368', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 132.0}
{'Tiempo': '2023-11-29T14:15:49.886727', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 133.0}
{'Tiempo': '2023-11-29T14:16:17.863374', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 135.0}
{'Tiempo': '2023-11-29T14:16:19.481112', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 136.0}
{'Tiempo': '2023-11-29T14:16:47.891356', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 138.0}
{'Tiempo': '2023-11-29T14:16:49.515614', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 139.0}
{'Tiempo': '2023-11-29T14:17:17.897095', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 141.0}
{'Tiempo': '2023-11-29T14:17:19.486514', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 141.0}
{'Tiempo': '2023-11-29T14:17:47.915399', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 144.0}
{'Tiempo': '2023-11-29T14:17:49.540288', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 144.0}
{'Tiempo': '2023-11-29T14:18:17.924851', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 147.0}
{'Tiempo': '2023-11-29T14:18:19.541493', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 147.0}
{'Tiempo': '2023-11-29T14:18:47.945149', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 150.0}
{'Tiempo': '2023-11-29T14:18:49.557845', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 150.0}
{'Tiempo': '2023-11-29T14:19:17.972325', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 153.0}
{'Tiempo': '2023-11-29T14:19:19.614602', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 153.0}
{'Tiempo': '2023-11-29T14:19:48.019311', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 156.0}
{'Tiempo': '2023-11-29T14:19:49.635395', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 156.0}
{'Tiempo': '2023-11-29T14:20:18.053331', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 159.0}
{'Tiempo': '2023-11-29T14:20:19.649798', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 159.0}
{'Tiempo': '2023-11-29T14:20:48.056965', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 162.0}
{'Tiempo': '2023-11-29T14:20:49.671558', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 162.0}
{'Tiempo': '2023-11-29T14:21:18.099812', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 165.0}
{'Tiempo': '2023-11-29T14:21:19.725505', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 165.0}
{'Tiempo': '2023-11-29T14:21:48.059012', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 168.0}
{'Tiempo': '2023-11-29T14:21:49.706459', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 168.0}
{'Tiempo': '2023-11-29T14:22:18.071195', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 171.0}
{'Tiempo': '2023-11-29T14:22:19.740288', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 171.0}
{'Tiempo': '2023-11-29T14:22:48.086567', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 174.0}
{'Tiempo': '2023-11-29T14:22:49.773063', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 174.0}
{'Tiempo': '2023-11-29T14:23:18.093564', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 177.0}
{'Tiempo': '2023-11-29T14:23:19.756647', 'hostname': 'R1', 'fa1/1_In_uPackets': 0.0, 'fa1/1_Out_uPackets': 177.0}
